Probe,Gene,logFC
1561082_at,STMN1,-1.5468195621629008
224429_x_at,SIGLEC10,-1.5467211046155007
1564211_at,SIGLEC10,-1.5466361974712441
1568375_at,WFIKKN1,-1.5458985467476867
231180_at,KLF14,-1.5452459085698678
1563721_at,NXNL2,-1.544947647742787
214590_s_at,ZNF396,-1.5445406585458121
1566670_at,SLC26A7,-1.5443874919880127
216688_at,SNX18,-1.5439144058616705
238324_at,B3GNT6,-1.5434283719700366
233016_at,B3GNT6,-1.5433428329004657
217800_s_at,ZNF619,-1.542427327971421
208752_x_at,GARIN2,-1.5423216228121073
233439_at,BCL2L14,-1.5421386572009788
1558546_at,HS6ST3,-1.5420134393584208
220357_s_at,SLC26A1,-1.5418563081713454
235824_at,PTCHD1,-1.541162776150066
218510_x_at,M1AP,-1.5410988611048273
1553385_at,ZSCAN4,-1.5406481006094002
228057_at,VWA5B1,-1.539496585921658
217019_at,LINC00311,-1.539364860931874
1565576_at,HTR6,-1.539109366593741
216676_x_at,MAGEB6,-1.5390633816818695
1569188_s_at,RUSC1-AS1,-1.5387195851161333
52255_s_at,ASMTL-AS1,-1.5369069357629104
1553702_at,LINC00334,-1.5348991747134428
34063_at,LINC00334,-1.5348910330552037
71933_at,EXOC3L2,-1.5330508295633554
244800_x_at,CAMK2N2,-1.532873565741098
1555697_at,Unknown,-1.5319414438619154
1559578_at,NETO1,-1.5311887093843801
1555994_at,FMR1NB,-1.5309289164783644
234405_s_at,GCSAML,-1.530806788967167
233849_s_at,SIGLEC11,-1.5303985993994567
1554305_at,MAGEB18,-1.5298068351494636
1567622_at,RIMS1,-1.5279373221949766
1553728_at,TAB3,-1.5272442363060839
219103_at,MMEL1,-1.5269664338988358
1558248_at,ZIC5,-1.5254306873831223
200073_s_at,TRIM67-AS1,-1.5250979552194874
1554886_a_at,GABRG1,-1.5249163361290092
200626_s_at,PANX2,-1.5248009278996955
232775_at,ZNF114,-1.524039430251508
213299_at,RBMY2FP,-1.5236372962124582
207494_s_at,NEUROD2,-1.52348304640221
231305_at,LINC02899,-1.5234558153775262
1561019_at,LINC00208,-1.52343586977066
1565947_a_at,DNAH6,-1.5232550469145703
228194_s_at,ZMYM6,-1.5211041694240648
206330_s_at,LINC02551,-1.520304916946883
1563235_at,WNT9B,-1.5199589951151307
216139_s_at,NA,-1.5196732393220678
1553493_a_at,CNPY3,-1.5190723399771404
201589_at,SCAMP1,-1.5188654719038868
205359_at,HAS3,-1.5183933106377192
220450_at,NA,-1.517292278321555
212154_at,IL27,-1.5166936448008077
1557954_at,PKHD1,-1.5160290497815103
213644_at,PKD1L1,-1.5156597495962318
241181_x_at,TAF1L,-1.515033934724618
1564897_at,CNTNAP5,-1.5149449804274362
217894_at,Unknown,-1.513703579484663
38691_s_at,KLHL4,-1.5136770676288531
243459_x_at,SUOX,-1.5135004232781364
240742_at,SYTL5,-1.5124916786757618
221966_at,SDCCAG8,-1.5121477441225686
1563834_a_at,WFDC13,-1.5079919158491695
1566002_at,SERPINB12,-1.5075936583151384
230369_at,GIPC3,-1.5074541183245562
206851_at,MOGAT1,-1.506010992373458
