Probe,Gene,logFC
217426_at,KCNG4,1.5985927464638663
214531_s_at,"FAM223A, FAM223B",1.595958027939865
229827_at,WFDC11,1.5955922835829925
218735_s_at,JAK1,1.5946944854799001
231555_at,JAK1,1.5945103708353274
223210_at,CDC42SE2,1.5933337892094406
211059_s_at,ACACB,1.5929038194903251
222179_at,ACACB,1.592796471871227
40665_at,"NA, STX6",1.5916369554730745
210206_s_at,ANLN,1.5914017021921074
237168_at,SPRR4,1.5910976417788756
218715_at,"POLR2J3, POLR2J2, POLR2J4, NA, PMS2P3",1.5909684916054065
221595_at,Unknown,1.5905824186996966
1559062_at,HSH2D,1.5904606754155413
230289_at,TRNT1,1.5903647804978147
212674_s_at,TMEM163,1.5901646937889893
203554_x_at,ARHGAP5,1.589606774985781
221995_s_at,HERPUD2,1.5894391991354822
224447_s_at,JMJD6,1.588576246474477
226772_s_at,"NA, ARSG",1.5870320722207591
218946_at,ZNF101,1.5867903713619864
203606_at,ZNF101,1.5863371237078545
202276_at,PTPN11,1.5858762959802848
223113_at,"ATAD3A, ATAD3B",1.5839234704533964
227171_at,ZNF626,1.5833213224258578
213048_s_at,PHC3,1.582430462607537
222994_at,IL11RA,1.5821160000173533
202851_at,"RFFL, NA",1.5812520644114463
208696_at,"RFFL, NA",1.5805155279003194
226724_s_at,HPS4,1.5802199824856935
1559653_at,FLCN,1.5777969643502947
224446_at,JMJD1C-AS1,1.5771543654173528
244268_x_at,LRRC7,1.5771514453174298
212711_at,SH2D3C,1.576862614484593
201835_s_at,PPP1R3B,1.5762642192423715
210460_s_at,SLC9A7,1.5761842835667739
215684_s_at,IGSF3,1.5760706922297303
217230_at,RFX6,1.5759428873985224
1554509_a_at,DIRC1,1.5751792527901227
213344_s_at,DNAJB7,1.5749025355762496
227903_x_at,UCN3,1.5747121376216244
212931_at,DIP2A,1.5742369497472863
202349_at,USP28,1.5731448737254001
240603_s_at,KNL1,1.5728146881459926
203964_at,KNL1,1.5726861213025205
223334_at,SENP8,1.5724053047227429
214213_x_at,CNBD2,1.571877063380286
202202_s_at,CNBD2,1.5714126606869825
204800_s_at,CACNA2D4,1.5711141045328998
224037_at,ARL11,1.5692165119585948
226643_s_at,SLC2A13,1.5691939608607568
218771_at,SLC2A13,1.5691410755405628
220539_at,NIPA1,1.5686997875067958
